ident;type;name;continent;iso_country;iso_region;municipality
00A;heliport;Total Rf Heliport;NA;US;US-PA;Bensalem
00AA;small_airport;Aero B Ranch Airport;NA;US;US-KS;Leoti
00AK;small_airport;Lowell Field;NA;US;US-AK;Anchor Point
00AL;small_airport;Epps Airpark;NA;US;US-AL;Harvest
00AR;closed;Newport Hospital & Clinic Heliport;NA;US;US-AR;Newport
00AS;small_airport;Fulton Airport;NA;US;US-OK;Alex
00AZ;small_airport;Cordes Airport;NA;US;US-AZ;Cordes
00CA;small_airport;Goldstone (GTS) Airport;NA;US;US-CA;Barstow
00CL;small_airport;Williams Ag Airport;NA;US;US-CA;Biggs
00CN;heliport;Kitchen Creek Helibase Heliport;NA;US;US-CA;Pine Valley
00CO;closed;Cass Field;NA;US;US-CO;Briggsdale
00FA;small_airport;Grass Patch Airport;NA;US;US-FL;Bushnell
00FD;heliport;Ringhaver Heliport;NA;US;US-FL;Riverview
00FL;small_airport;River Oak Airport;NA;US;US-FL;Okeechobee
00GA;small_airport;Lt World Airport;NA;US;US-GA;Lithonia
00GE;heliport;Caffrey Heliport;NA;US;US-GA;Hiram
00HI;heliport;Kaupulehu Heliport;NA;US;US-HI;Kailua-Kona
00ID;small_airport;Delta Shores Airport;NA;US;US-ID;Clark Fork
00IG;small_airport;Goltl Airport;NA;US;US-KS;McDonald
00II;closed;Bailey Generation Station Heliport;NA;US;US-IN;Chesterton
00IL;small_airport;Hammer Airport;NA;US;US-IL;Polo
00IN;heliport;St Mary Medical Center Heliport;NA;US;US-IN;Hobart
00IS;small_airport;Hayenga's Cant Find Farms Airport;NA;US;US-IL;Kings
00KS;small_airport;Hayden Farm Airport;NA;US;US-KS;Gardner
00KY;small_airport;Robbins Roost Airport;NA;US;US-KY;Stanford
00LA;heliport;Shell Chemical East Site Heliport;NA;US;US-LA;Gonzales
00LL;heliport;Ac & R Components Heliport;NA;US;US-IL;Chatham
00LS;small_airport;Lejeune Airport;NA;US;US-LA;Esterwood
00MD;small_airport;Slater Field;NA;US;US-MD;Federalsburg
00MI;heliport;Dow Chemical Heliport;NA;US;US-MI;Ludington
00MN;small_airport;Battle Lake Municipal Airport;NA;US;US-MN;Battle Lake
00MO;small_airport;Cooper Flying Service Airport;NA;US;US-MO;Alba
00MT;heliport;Livingston Healthcare Heliport;NA;US;US-MT;Livingston
00N;small_airport;Bucks Airport;NA;US;US-NJ;Bridgeton
00NC;small_airport;North Raleigh Airport;NA;US;US-NC;Louisburg
00NJ;heliport;Colgate-Piscataway Heliport;NA;US;US-NJ;New Brunswick
00NK;seaplane_base;Cliche Cove Seaplane Base;NA;US;US-NY;Beekmantown
00NY;small_airport;Weiss Airfield;NA;US;US-NY;West Bloomfield
00OH;closed;Exit 3 Airport;NA;US;US-OH;Wauseon
00OI;heliport;Miami Valley Hospital Heliport;NA;US;US-OH;Dayton
00OK;small_airport;Gull Bay Landing Airport;NA;US;US-OK;Sandsprings
00OR;heliport;Steel Systems Heliport;NA;US;US-OR;Salem
00PA;heliport;R J D Heliport;NA;US;US-PA;Coatesville
00PN;small_airport;Ferrell Field;NA;US;US-PA;Mercer
00PS;closed;Thomas Field;NA;US;US-PA;Loysville
00S;small_airport;McKenzie Bridge State Airport;NA;US;US-OR;Blue River
00SC;small_airport;Flying O Airport;NA;US;US-SC;Sumter
00SD;small_airport;Homan Field;NA;US;US-SD;Gary
00TA;closed;SW Region FAA Heliport;NA;US;US-TX;Fort Worth
00TE;heliport;Tcjc-Northeast Campus Heliport;NA;US;US-TX;Fort Worth
00TN;small_airport;Ragsdale Road Airport;NA;US;US-TN;Manchester
00TS;small_airport;Alpine Range Airport;NA;US;US-TX;Everman
00TX;closed;San Jacinto Methodist Hospital Heliport;NA;US;US-TX;Baytown
00UT;closed;Clear Creek Ranch Airport;NA;US;US-UT;Kanab
00VA;small_airport;Vaughan Airport;NA;US;US-VA;Alton
00VI;small_airport;Groundhog Mountain Airport;NA;US;US-VA;Hillsville
00W;small_airport;Lower Granite State Airport;NA;US;US-WA;Colfax
00WA;small_airport;Howell Airport;NA;US;US-WA;Longbranch
00WI;small_airport;Northern Lite Airport;NA;US;US-WI;Waupaca
00WN;small_airport;Hawks Run Airport;NA;US;US-WA;Asotin
00WV;small_airport;Lazy J. Aerodrome;NA;US;US-WV;Beverly
00WY;heliport;Mountain View Regional Hospital Heliport;NA;US;US-WY;Casper
00XS;small_airport;L P Askew Farms Airport;NA;US;US-TX;O'Donnell
01A;small_airport;Purkeypile Airport;NA;US;US-AK;Purkeypile
01AK;heliport;Providence Seward Medical Center Heliport;NA;US;US-AK;Seward
01AL;small_airport;Ware Island Airport;NA;US;US-AL;Clanton
01AR;heliport;Community Hospital of De Queen Heliport;NA;US;US-AR;De Queen
01AZ;heliport;Yat Heliport;NA;US;US-AZ;Camp Verde
01C;closed;Grant Airport;NA;US;US-MI;Grant
01CA;heliport;Lugo Substation Heliport;NA;US;US-CA;Hesperia
01CL;small_airport;Swansboro Country Airport;NA;US;US-CA;Placerville
01CN;heliport;Los Angeles County Sheriff's Department Heliport;NA;US;US-CA;Los Angeles
01CO;heliport;St Vincent General Hospital Heliport;NA;US;US-CO;Leadville
01CT;heliport;Berlin Fairgrounds Heliport;NA;US;US-CT;Berlin
01FA;small_airport;Rybolt Ranch Airport;NA;US;US-FL;Orlando
01FD;heliport;Advent Health Altamonte Springs Heliport;NA;US;US-FL;Altamonte Springs
01FL;small_airport;Cedar Knoll Flying Ranch Airport;NA;US;US-FL;Geneva
01GA;heliport;Medical Center Heliport;NA;US;US-GA;Columbus
01GE;small_airport;The Farm Airport;NA;US;US-GA;Wrightsville
01IA;small_airport;Stender Airport;NA;US;US-IA;Maysville
01ID;small_airport;Lava Hot Springs Airport;NA;US;US-ID;Lava Hot Springs
01II;small_airport;Myers Field;NA;US;US-IN;Lizton
01IL;heliport;Hoopeston Community Memorial Hospital Heliport;NA;US;US-IL;Hoopeston
01IN;heliport;Community Hospital Heliport;NA;US;US-IN;Anderson
01IS;small_airport;William E. Koenig Airport;NA;US;US-IL;Dow
01J;small_airport;Hilliard Airpark;NA;US;US-FL;Hilliard
01K;small_airport;Caldwell Municipal Airport;NA;US;US-KS;Caldwell
01KS;small_airport;Flying N Ranch Airport;NA;US;US-KS;Lost Springs
01KY;heliport;Lourdes Hospital Heliport;NA;US;US-KY;Paducah
01LA;small_airport;Barham Airport;NA;US;US-LA;Oak Ridge
01LL;small_airport;Schumaier Restricted Landing Area;NA;US;US-IL;Pinckneyville
01LS;small_airport;Country Breeze Airport;NA;US;US-LA;Slaughter
01MA;heliport;Compaq Andover Heliport;NA;US;US-MA;Andover
01MD;seaplane_base;Annapolis Seaplane Base;NA;US;US-MD;Annapolis
01ME;seaplane_base;Saint Peter's Seaplane Base;NA;US;US-ME;Portage Lake
01MI;heliport;Flow Through Terminal Heliport;NA;US;US-MI;Flint
01MN;seaplane_base;Barnes Seaplane Base;NA;US;US-MN;Cook
01MO;heliport;Highway Patrol Troop C Headquarters Heliport;NA;US;US-MO;Town and Country
01MT;small_airport;Crystal Lakes Resort Airport;NA;US;US-MT;Fortine
01NC;small_airport;Topsail Airpark;NA;US;US-NC;Holly Ridge
01NE;small_airport;Detour Airport;NA;US;US-NE;Wellfleet
01NH;small_airport;Moore Airfield;NA;US;US-NH;Canaan
01NJ;heliport;Albert Guido Memorial Heliport;NA;US;US-NJ;Newark
01NM;small_airport;Champion Ranch Airport;NA;US;US-NM;Artesia
01NV;small_airport;Lantana Ranch Airport;NA;US;US-NV;Yerington
01NY;heliport;Vassar Hospital Heliport;NA;US;US-NY;Poughkeepsie
01OI;heliport;Galion Community Hospital Heliport;NA;US;US-OH;Galion
01OK;closed;Lawrence Airport;NA;US;US-OK;Eakly
01OR;closed;Red & White Flying Service Airport;NA;US;US-OR;Silver Lake
01PA;closed;Pine Heliport;NA;US;US-PA;Mars
01PN;small_airport;Bierly(Personal Use) Airport;NA;US;US-PA;Bellefonte
01PS;small_airport;Nort's Resort Airport;NA;US;US-PA;Meshoppen
01SC;small_airport;York Airport;NA;US;US-SC;York
01TA;heliport;Thirty Thirty Matlock Office Center Heliport;NA;US;US-TX;Arlington
01TE;small_airport;Smith Field;NA;US;US-TX;Forney
01TN;small_airport;Colonial Air Park;NA;US;US-TN;Collierville
01TS;closed;St Joseph Hospital Heliport;NA;US;US-TX;Fort Worth
01TT;heliport;Clute Fire & EMS Station #1 Heliport;NA;US;US-TX;Clute
01TX;closed;Mims Farm Ultralightport;NA;US;US-TX;Waxahachie
01U;small_airport;Duckwater Airport;NA;US;US-NV;Duckwater
01UT;small_airport;La Sal Junction Airport;NA;US;US-UT;La Sal
01VA;small_airport;Pickles Airport;NA;US;US-VA;Berryville
01WA;heliport;Willapa Harbor Heliport;NA;US;US-WA;South Bend
01WI;small_airport;Prehn Cranberry Company Airport;NA;US;US-WI;Tomah
01WN;heliport;Whidbey General Hospital Heliport;NA;US;US-WA;Coupeville
01WT;heliport;Odyssey Heliport;NA;US;US-WA;Renton
01WY;small_airport;Keyhole Airport;NA;US;US-WY;Moorcroft
01XA;heliport;Ascension Seton Hays Heliport;NA;US;US-TX;Kyle
01XS;heliport;Meadowood Ranch Heliport;NA;US;US-TX;Athens
02AA;small_airport;Barefoot Airport;NA;US;US-AK;Big Lake
02AK;small_airport;Rustic Wilderness Airport;NA;US;US-AK;Willow
02AL;small_airport;Bass Field;NA;US;US-AL;Foley
02AR;closed;Three Rivers Airport;NA;US;US-AR;Little Rock
02AZ;closed;Winchester Farm Airstrip;NA;US;US-AZ;Willcox
02CA;heliport;Swepi Beta Platform Ellen Heliport;NA;US;US-CA;Huntington Beach
02CD;small_airport;Shannon Field;NA;US;US-MS;Clarksdale
02CL;small_airport;Conover Air Lodge Airport;NA;US;US-CA;Frazier Park
02CO;small_airport;Mc Cullough Airport;NA;US;US-CO;Monte Vista
02CT;heliport;Strangers Point Heliport;NA;US;US-CT;Ellington
02FA;small_airport;Osborn Airfield;NA;US;US-FL;Groveland
02FD;small_airport;Triple R Ranch Airport;NA;US;US-FL;Baker
02FL;closed;Cuchens Airport;NA;US;US-FL;Defuniak Springs
02GA;small_airport;Doug Bolton Field;NA;US;US-GA;Commerce
02GE;small_airport;Etowah Fields Airport;NA;US;US-GA;Euharlee
02HI;heliport;K3 Helipad Heliport;NA;US;US-HI;Pearl Harbor
02IA;heliport;Boone County Hospital Heliport;NA;US;US-IA;Boone
02ID;small_airport;Morgan Ranch Airport;NA;US;US-ID;Cascade
02II;small_airport;King Ultralightport;NA;US;US-IN;Westfield
02IN;small_airport;Diamond P. Field;NA;US;US-IN;Muncie
02IS;heliport;Condell Medical Center Heliport;NA;US;US-IL;Libertyville
02KS;small_airport;Jmj Landing Airport;NA;US;US-KS;St Marys
02KT;heliport;St Claire Healthcare Heliport;NA;US;US-KY;Morehead
02KY;heliport;Boone National Guard Heliport;NA;US;US-KY;Frankfort
02LA;heliport;La State Police Troop G Heliport;NA;US;US-LA;Bossier City
02LS;heliport;Windy Hill Heliport;NA;US;US-LA;Broussard
02MA;heliport;Cuttyhunk Heliport;NA;US;US-MA;Gosnold
02MD;small_airport;Garner Field;NA;US;US-MD;Brandywine
02ME;small_airport;Nadeau's Airfield;NA;US;US-ME;Acton
02MI;small_airport;Fairplains Airpark;NA;US;US-MI;Greenville
02MN;small_airport;Greenbush Municipal Airport;NA;US;US-MN;Greenbush
02MO;small_airport;Troy Airpark;NA;US;US-MO;Troy
02MS;small_airport;Watts Field;NA;US;US-MS;Rochdale
02MT;closed;Barrett Field;NA;US;US-MT;Cascade
02MU;closed;Timber Line Airpark;NA;US;US-MO;Cassville
02NC;closed;Race City Heliport;NA;US;US-NC;Landis
02NE;small_airport;Benes Service Airport;NA;US;US-NE;Valparaiso
02NH;seaplane_base;Iroquois Landing Seaplane Base;NA;US;US-NH;Dummer
02NJ;heliport;Penske Heliport;NA;US;US-NJ;Piscataway
02NV;small_airport;Paiute Meadows Airport;NA;US;US-NV;Winnemucca
02NY;heliport;Hansen Heliport;NA;US;US-NY;Durhamville
02OH;small_airport;Zimmerman Airport;NA;US;US-OH;Fremont
02OI;small_airport;Murtha Airport;NA;US;US-OH;Conneaut
02OK;closed;Canon Heliport;NA;US;US-OK;Oklahoma City
02OL;heliport;War Veterans Colony Heliport;NA;US;US-OK;Wilburton
02OR;small_airport;Rowena Dell Airport;NA;US;US-OR;The Dalles
02P;heliport;Stottle Memorial Heliport;NA;US;US-PA;Honey Grove
02PA;heliport;Lag Iii Heliport;NA;US;US-PA;Monroeville
02PN;heliport;Peco Berwyn Heliport;NA;US;US-PA;Berwyn
02PR;small_airport;Cuylers Airport;NA;PR;PR-U-A;Vega Baja
02PS;small_airport;Hughes Ultralightport;NA;US;US-PA;Tioga
02SC;small_airport;Harpers Airport;NA;US;US-SC;Estill
02T;small_airport;Wise River Airport;NA;US;US-MT;Wise River
02TA;heliport;Matagorda Shore Facility Heliport;NA;US;US-TX;Matagorda
02TE;heliport;Baylor Medical Center Heliport;NA;US;US-TX;Waxahachie
02TN;small_airport;Ellis Field;NA;US;US-TN;Murfreesboro
02TS;closed;FWOMC Heliport;NA;US;US-TX;Fort Worth
02TX;closed;The Palms At Kitty Hawk Airport;NA;US;US-TX;New Home
02UT;small_airport;Lucin Airport;NA;US;US-UT;Lucin
02VA;small_airport;The Greenhouse Airport;NA;US;US-VA;Culpeper
02VG;heliport;Northstar Aviation Heliport;NA;US;US-VA;Bristol
02WA;small_airport;Cawleys South Prairie Airport;NA;US;US-WA;South Prairie
02WI;small_airport;Beer Airport;NA;US;US-WI;Hudson
02WN;small_airport;Fowler Field;NA;US;US-WA;Tonasket
02XA;small_airport;JLS Farms Airport;NA;US;US-TX;Honey Grove
02XS;closed;Seidel Ranch Airport;NA;US;US-TX;Del Valle
03AA;heliport;Trapper T Heliport;NA;US;US-AK;Palmer
03AK;seaplane_base;Joe Clouds Seaplane Base;NA;US;US-AK;Kenai
03AL;heliport;Highland Medical Center Heliport;NA;US;US-AL;Scottsboro
03AR;heliport;Hscmh Heliport;NA;US;US-AR;Malvern
03AZ;small_airport;Thompson International Aviation Airport;NA;US;US-AZ;Hereford
03CA;heliport;Grossmont Hospital Heliport;NA;US;US-CA;La Mesa
03CO;small_airport;Kugel-Strong Airport;NA;US;US-CO;Platteville
03FA;small_airport;Lake Persimmon Airstrip;NA;US;US-FL;Lake Placid
03FD;closed;Tharpe Airport;NA;US;US-FL;Bonifay
03FL;heliport;Ranger Heliport;NA;US;US-FL;West Palm Beach
03GA;small_airport;HIA Airport;NA;US;US-IN;Statesboro
03I;closed;Clarks Dream Strip;NA;US;US-OH;Circleville
03IA;small_airport;East Field;NA;US;US-IA;Montezuma
03ID;small_airport;Flying Y Ranch Airport;NA;US;US-ID;Council
03II;small_airport;Davis Field Ultralightport;NA;US;US-IN;Mount Vernon
03IL;small_airport;Wix Airport;NA;US;US-IL;Monee
03IN;small_airport;Heinzman Airport;NA;US;US-IN;Arcadia
03IS;heliport;OSF St Anthony's Health Center Heliport;NA;US;US-IL;Alton
03KS;heliport;Valley Grain Heliport;NA;US;US-KS;Highland
03KY;small_airport;Flying H Farms Airport;NA;US;US-KY;Henderson
03LA;heliport;Damien Heliport;NA;US;US-LA;Carville
03LS;heliport;Fmc Nr 1 Heliport;NA;US;US-LA;Winnsboro
03M;seaplane_base;Lakeside Marina Seaplane Base;NA;US;US-ME;East Winthrop
03MA;small_airport;Hadley Airport;NA;US;US-MA;Hadley
03MD;heliport;Upper Chesapeake Medical Center Heliport;NA;US;US-MD;Bel Air
03ME;small_airport;Maple Ridge Airport;NA;US;US-ME;Harrison
03MI;heliport;Harold Miller Heliport;NA;US;US-MI;Bay City
03MN;small_airport;Nauerth Land Ranch Airport;NA;US;US-MN;Lakefield
03MO;closed;Cahoochie Airport;NA;US;US-MO;Urbana
03MS;heliport;Vicksburg Medical Center Heliport;NA;US;US-MS;Vicksburg
03MT;small_airport;Cascade Field;NA;US;US-MT;Cascade
03MU;small_airport;Mc Donnell Airport;NA;US;US-MO;Archie
03N;small_airport;Utirik Airport;OC;MH;MH-UTI;Utirik Island
03NC;small_airport;Pilots Ridge Airport;NA;US;US-NC;Carolina Beach
03ND;small_airport;Olafson Brothers Airport;NA;US;US-ND;Edinburg
03NE;small_airport;Hyde Ranch Airport;NA;US;US-NE;Comstock
03NH;heliport;Lorden Heliport;NA;US;US-NH;Milford
03NJ;closed;AT&T Heliport;NA;US;US-NJ;Berkeley Heights
03NV;small_airport;Llama Ranch Airport;NA;US;US-NV;Ruby Valley
03NY;small_airport;Talmage Field;NA;US;US-NY;Riverhead
03OH;small_airport;Gibbs Field;NA;US;US-OH;Fremont
03OI;heliport;Cleveland Clinic;NA;US;US-OH;
03OK;small_airport;Sahoma Lake Airport;NA;US;US-OK;Sapulpa
03OR;small_airport;Powwatka Ridge Airport;NA;US;US-OR;Troy
03PA;heliport;Collegeville Heliport;NA;US;US-PA;Collegeville
03PN;heliport;M.P. Metals Heliport;NA;US;US-PA;Berwick
03PR;small_airport;Sun View Field Airport;NA;US;US-KS;Bonner Springs
03PS;closed;Ziggy's Field;NA;US;US-PA;Bellefonte
03S;small_airport;Sandy River Airport;NA;US;US-OR;Sandy
03SC;heliport;Seacoast Medical Center Heliport;NA;US;US-SC;Little River
03TA;closed;Gay Hill Farm Airport;NA;US;US-TX;Gay Hill
03TE;small_airport;Barronena Ranch Airport;NA;US;US-TX;Hebbronville
03TN;heliport;Eagles Landing Heliport;NA;US;US-TN;Sevierville
03TS;heliport;Shannon Medical Center Heliport;NA;US;US-TX;San Angelo
03TT;small_airport;Brazos Polo Airport;NA;US;US-TX;Orchard
03TX;heliport;M D K Field Heliport;NA;US;US-TX;Pearland
03UT;small_airport;A Z Minerals Corporation Airport;NA;US;US-UT;Mexican Hat
03VA;closed;Whipoorwill Springs Airport;NA;US;US-VA;Nokesville
03WA;small_airport;Spangle Field;NA;US;US-WA;Spangle
03WI;small_airport;Zink Airport;NA;US;US-WI;Berlin
03WN;small_airport;Aerostone Ranch Airport;NA;US;US-WA;Goldendale
03XS;small_airport;Creekside Airport;NA;US;US-TX;Mertzon
04AA;small_airport;Flying W Ranch Airport;NA;US;US-AK;Soldotna
04AL;heliport;Anniston AHP (Anniston Army Depot);NA;US;US-AL;Anniston
04AR;heliport;Saline Memorial Hospital Heliport;NA;US;US-AR;Benton
04AZ;closed;(Old) Chinle Airport;NA;US;US-AZ;Chinle
04CA;small_airport;Gray Butte Field;NA;US;US-CA;Palmdale
04CL;small_airport;Hunt's Sky Ranch Airport;NA;US;US-CA;Julian
04CT;heliport;Shingle Mill Heliport;NA;US;US-CT;Harwinton
04F;closed;De Leon Municipal Airport;NA;US;US-TX;De Leon
04FA;small_airport;Richards Field;NA;US;US-FL;Homestead
04FD;heliport;Tampa General Hospital Brandon Healthplex Heliport;NA;US;US-FL;Brandon
04FL;small_airport;Cross Creek Farms Airport;NA;US;US-FL;Ormond
04I;small_airport;Columbus Southwest Airport;NA;US;US-OH;Columbus
04IA;small_airport;Middlekoop Airport;NA;US;US-IA;Packwood
04ID;small_airport;Lanham Field;NA;US;US-ID;Emmett
04II;small_airport;Turkey Run Airport;NA;US;US-IN;New Haven
04IL;small_airport;Schertz Aerial Service - Hudson Airport;NA;US;US-IL;Hudson
04IN;seaplane_base;Lake Gage Seaplane Base;NA;US;US-IN;Angola
04IS;small_airport;Van Gorder Airport;NA;US;US-IL;Mansfield
04KS;heliport;Robinson Industries Heliport;NA;US;US-KS;Lawrence
04KY;small_airport;Natchez Trace Farm Airport;NA;US;US-KY;Hiseville
04LA;heliport;St James Heliport;NA;US;US-LA;Lutcher
04LL;small_airport;Brunner Airport;NA;US;US-IL;West Dundee
04LS;heliport;La National Guard Heliport;NA;US;US-LA;Baton Rouge
04MA;small_airport;Goddard Field;NA;US;US-MA;Haverhill
04MD;heliport;Chesapeake City Heliport;NA;US;US-MD;Chesapeake City
04ME;small_airport;Beech Hill Airport;NA;US;US-ME;Mercer
04MI;small_airport;Rapids Airway Airport;NA;US;US-MI;Eaton Rapids
04MN;small_airport;Helblad Airport;NA;US;US-MN;Kelliher
04MO;small_airport;Airpark Private Airport;NA;US;US-MO;Vandalia
04MS;small_airport;Nick's Flying Service Inc Airport;NA;US;US-MS;Rolling Fork
04MT;small_airport;Pluhar Airport;NA;US;US-MT;Cohagen
04NC;heliport;Western Wake Medical Center Heliport;NA;US;US-NC;Cary
04NE;small_airport;Mc Connell Field Airport;NA;US;US-NE;Sarben
04NJ;small_airport;Emmanuel Airport;NA;US;US-NJ;Elmer
04NV;small_airport;Kingston Ranch Airport;NA;US;US-NV;Sandy Valley
04NY;small_airport;Klaverack Airport;NA;US;US-NY;Hudson
04OG;heliport;Teufel Heliport;NA;US;US-OR;Forest Grove
04OH;closed;Bossow Airport;NA;US;US-OH;Garrettsville
04OK;heliport;Stillwater Medical Center Heliport;NA;US;US-OK;Stillwater
04OR;small_airport;Collins Landing Strip;NA;US;US-OR;Mitchell
04PA;heliport;S & C Distribution Center Heliport;NA;US;US-PA;Philadelphia
04PN;heliport;Strawbridge & Clothier Exton Heliport;NA;US;US-PA;Exton
04SC;heliport;Emergency Helipad;NA;US;US-SC;Easley
04SD;heliport;Cheyenne River Health Center Heliport;NA;US;US-SD;Eagle Butte
04TA;closed;Capitol National Bank Building Heliport;NA;US;US-TX;Austin
04TE;heliport;Veterans Affairs Medical Center Heliport;NA;US;US-TX;Houston
04TN;small_airport;Hensley Airpark;NA;US;US-TN;Chuckey
04TS;heliport;Hummingbird Heliport;NA;US;US-TX;Hutto
04TT;small_airport;4D Ranch Airport;NA;US;US-TX;Utopia
04TX;small_airport;Pocock Airport;NA;US;US-TX;China Spring
04UT;small_airport;Navajo Mountain Airport;NA;US;US-UT;Navajo Mountain
04V;small_airport;Saguache Municipal Airport;NA;US;US-CO;Saguache
04VA;heliport;Russell County Medical Center Heliport;NA;US;US-VA;Lebanon
04VG;small_airport;Manquin Flight Park Ultralightport;NA;US;US-VA;Manquin
04VT;small_airport;Lightning Bolt Field Airport;NA;US;US-VT;Cabot
04W;small_airport;Field of Dreams Airport;NA;US;US-MN;Hinckley
04WA;small_airport;Ox Meadows Airport;NA;US;US-WA;Spokane
04WI;small_airport;Dutch Gap Airstrip;NA;US;US-WI;Bristol
04WN;small_airport;Stillwater Creek Airport;NA;US;US-WA;Royal City
04WV;heliport;West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport;NA;US;US-WV;Morgantown
04XA;small_airport;Pecan Field;NA;US;US-TX;Jermyn
04XS;closed;Schmidts Heliport;NA;US;US-TX;Mansfield
05AK;small_airport;Wasilla Creek Airpark;NA;US;US-AK;Palmer
05AL;heliport;Allen Stagefield Army Heliport;NA;US;US-AL;Fort Rucker/Wicksburg
05AR;small_airport;Ozark Skies Airpark;NA;US;US-AR;Kingston
05AZ;heliport;Yuma Regional Medical Center Heliport;NA;US;US-AZ;Yuma
05B;seaplane_base;Van Buren Seaplane Base;NA;US;US-ME;Van Buren
05CA;heliport;Lost Hills Sheriff's Station Heliport;NA;US;US-CA;Calabasas
05CL;small_airport;Pope Valley Airport;NA;US;US-CA;Pope Valley
05CO;small_airport;Rancho de Aereo Airport;NA;US;US-CO;Mead
05CT;heliport;O And G Heliport;NA;US;US-CT;Torrington
05FA;small_airport;Melanie's Airport;NA;US;US-FL;Florala
05FD;heliport;Aventura Heliport;NA;US;US-FL;North Miami Beach
05FL;small_airport;Charlton Strip;NA;US;US-FL;La Belle
05GA;small_airport;Raju Airport;NA;US;US-GA;Richland
05IA;small_airport;Spotts Field;NA;US;US-IA;Nora Springs
05ID;small_airport;Running Creek Ranch Airport;NA;US;US-ID;Grangeville
05II;small_airport;Reichhart Airport;NA;US;US-IN;New Haven
05IL;small_airport;Classic Landings Airport;NA;US;US-IL;Bonfield
05IN;small_airport;Cooper Airport;NA;US;US-IN;Belleville
05IS;small_airport;Hardy Airport;NA;US;US-IL;Mount Auburn
05KS;small_airport;Darbro Field;NA;US;US-KS;Elk City
05KY;small_airport;Cartersville Airport;NA;US;US-KY;Paint Lick
05LA;small_airport;Greg's Flying Service Airport;NA;US;US-LA;Baskin
05LL;heliport;Midwest Heliport;NA;US;US-IL;Willowbrook
05LS;small_airport;Grass Roots Airport;NA;US;US-LA;Alexandria
05M;heliport;Pauls Valley General Hospital Heliport;NA;US;US-OK;Pauls Valley
05MA;heliport;Bentley Heliport;NA;US;US-MA;Ipswich
05MD;small_airport;Breezecroft Airport;NA;US;US-MD;Chestertown
05ME;small_airport;Drisko Airport;NA;US;US-ME;Jonesboro
05MN;heliport;Northern Pines Medical Center Heliport;NA;US;US-MN;Aurora
05MO;heliport;Portageville Community Heliport;NA;US;US-MO;Portageville
05MS;heliport;Va Medical Center Jackson Heliport;NA;US;US-MS;Jackson
05MT;small_airport;Jones Landing Airport;NA;US;US-MT;Belgrade
05NC;closed;Brunswick Community Hospital Heliport;NA;US;US-NC;Supply
05NE;small_airport;Mc Kay Airport;NA;US;US-NE;Spalding
05NH;heliport;Stumpfield Heliport;NA;US;US-NH;Kensington
05NJ;heliport;Paulus Hook Pier Heliport;NA;US;US-NJ;Jersey City
05NV;small_airport;Baker Ranches Airport;NA;US;US-NV;Baker
05NY;heliport;Oswego County At Pulaski Heliport;NA;US;US-NY;Pulaski
05OI;small_airport;Dorlon Airpark;NA;US;US-OH;Columbia Station
05OK;closed;Hawk Haven Airport;NA;US;US-OK;Crescent
05OR;small_airport;Peacock Ranch Airport;NA;US;US-OR;Enterprise
05PA;heliport;PECO Mob. Heliport;NA;US;US-PA;Philadelphia
05PN;heliport;State Police Area Iii Heliport;NA;US;US-PA;Harrisburg
05PS;small_airport;Mills Brothers Airport;NA;US;US-PA;Burnt Cabins
05S;small_airport;Vernonia Airfield;NA;US;US-OR;Vernonia
05TA;small_airport;Brandes Air Field;NA;US;US-TX;Sealy
05TE;small_airport;Hilde-Griff Field;NA;US;US-TX;Georgetown
05TN;closed;Thurmond Glenn Field;NA;US;US-TN;Covington
05TS;small_airport;Dew Drop Airport;NA;US;US-TX;Justin
05TX;small_airport;Circle A Ranch Airport;NA;US;US-TX;Blum
05UT;closed;Oljato Airport;NA;US;US-UT;Oljato
05V;small_airport;Blanca Airport;NA;US;US-CO;Blanca
05VA;small_airport;Providence Airport;NA;US;US-VA;Farmville
05VT;heliport;Port of Highgate Springs Heliport;NA;US;US-VT;Highgate Springs
05WA;heliport;Sacred Heart Medical Center Helistop;NA;US;US-WA;Spokane
05WI;small_airport;Ames Private Airport;NA;US;US-WI;Darien
05WN;small_airport;Flat Creek Field;NA;US;US-WA;Kettle Falls
05XA;heliport;Moore County Hospital District Heliport;NA;US;US-TX;Dumas
05XS;small_airport;Johnson Memorial Airport;NA;US;US-AR;Wilmot
05Y;small_airport;Henning Municipal Airport;NA;US;US-MN;Henning
06AA;small_airport;Twisted Sisters Airport;NA;US;US-AK;Sterling
06AK;small_airport;June Lake Airpark;NA;US;US-AK;Wasilla
06AL;heliport;Brown Stagefield Army Heliport;NA;US;US-AL;Fort Rucker/New Brockton
06AR;small_airport;Bondair Airport;NA;US;US-AR;Higden
06AZ;heliport;Mercy Gilbert Medical Center Heliport;NA;US;US-AZ;Gilbert
06B;seaplane_base;Lucky Landing Marina and Seaplane Base;NA;US;US-ME;Bangor
06CA;heliport;Sce Solar I Heliport;NA;US;US-CA;Yermo
06CL;heliport;Abc7-Tv Heliport;NA;US;US-CA;Glendale
06CO;small_airport;Jecan Airport;NA;US;US-CO;Branson
06FA;small_airport;William P Gwinn Airport;NA;US;US-FL;Jupiter
06FD;small_airport;Grass Roots Airpark;NA;US;US-FL;Mascotte
